Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 123.59M
using fused AdamW: False
step 0: train loss 10.9884, val loss 10.9917
iter 0: loss 10.9868, time 78792.95ms, mfu -100.00%
iter 1: loss 10.9814, time 12905.58ms, mfu -100.00%
iter 2: loss 10.9603, time 12912.43ms, mfu -100.00%
iter 3: loss 10.9136, time 12928.39ms, mfu -100.00%
iter 4: loss 10.8892, time 12929.72ms, mfu -100.00%
iter 5: loss 10.8179, time 12930.14ms, mfu 2.60%
iter 6: loss 10.7364, time 12930.17ms, mfu 2.60%
iter 7: loss 10.5798, time 12930.67ms, mfu 2.60%
iter 8: loss 10.5312, time 12930.49ms, mfu 2.60%
iter 9: loss 10.4698, time 12930.55ms, mfu 2.60%
iter 10: loss 10.4002, time 12930.41ms, mfu 2.60%
iter 11: loss 10.2010, time 12930.51ms, mfu 2.60%
iter 12: loss 10.2447, time 12931.04ms, mfu 2.60%
iter 13: loss 10.1831, time 12930.81ms, mfu 2.60%
iter 14: loss 9.9846, time 12930.94ms, mfu 2.60%
iter 15: loss 10.0352, time 12931.25ms, mfu 2.60%
iter 16: loss 9.9510, time 12930.79ms, mfu 2.60%
iter 17: loss 9.9510, time 12930.95ms, mfu 2.60%
iter 18: loss 9.8635, time 12931.34ms, mfu 2.60%
iter 19: loss 9.8244, time 12931.51ms, mfu 2.60%
iter 20: loss 9.8493, time 12930.91ms, mfu 2.60%
iter 21: loss 9.5519, time 12930.48ms, mfu 2.60%
iter 22: loss 9.6207, time 12936.30ms, mfu 2.60%
iter 23: loss 9.6762, time 13136.98ms, mfu 2.60%
iter 24: loss 9.7158, time 12953.21ms, mfu 2.60%
iter 25: loss 9.7335, time 12953.19ms, mfu 2.60%
iter 26: loss 9.6051, time 12952.74ms, mfu 2.60%
iter 27: loss 9.4585, time 12952.68ms, mfu 2.60%
iter 28: loss 9.5188, time 12953.03ms, mfu 2.60%
iter 29: loss 9.5015, time 12953.15ms, mfu 2.60%
iter 30: loss 9.4418, time 12953.67ms, mfu 2.60%
iter 31: loss 9.4982, time 12953.34ms, mfu 2.60%
iter 32: loss 9.4018, time 12952.82ms, mfu 2.60%
iter 33: loss 9.7028, time 12953.18ms, mfu 2.60%
iter 34: loss 9.3423, time 12953.26ms, mfu 2.60%
iter 35: loss 9.3949, time 12952.87ms, mfu 2.60%
iter 36: loss 9.3533, time 12953.12ms, mfu 2.60%
iter 37: loss 9.3472, time 12953.17ms, mfu 2.60%
iter 38: loss 9.2549, time 12952.89ms, mfu 2.60%
iter 39: loss 9.1672, time 12953.48ms, mfu 2.60%
iter 40: loss 9.1094, time 12952.65ms, mfu 2.60%
iter 41: loss 9.0595, time 12953.43ms, mfu 2.60%
iter 42: loss 9.2351, time 12953.01ms, mfu 2.60%
iter 43: loss 9.2702, time 12953.24ms, mfu 2.60%
iter 44: loss 9.2738, time 12953.02ms, mfu 2.60%
iter 45: loss 9.1243, time 12958.15ms, mfu 2.60%
iter 46: loss 8.9873, time 12953.48ms, mfu 2.60%
iter 47: loss 9.0272, time 12952.88ms, mfu 2.60%
iter 48: loss 9.5099, time 12952.82ms, mfu 2.60%
iter 49: loss 8.8925, time 12953.31ms, mfu 2.60%
iter 50: loss 8.9637, time 12953.13ms, mfu 2.60%
iter 51: loss 8.9814, time 12953.15ms, mfu 2.60%
iter 52: loss 9.1073, time 12953.57ms, mfu 2.60%
iter 53: loss 9.1795, time 12952.90ms, mfu 2.60%
iter 54: loss 9.0777, time 12953.43ms, mfu 2.60%
iter 55: loss 9.1891, time 12953.36ms, mfu 2.60%
iter 56: loss 8.9170, time 12952.76ms, mfu 2.60%
iter 57: loss 8.5837, time 12953.73ms, mfu 2.60%
iter 58: loss 9.0387, time 12953.69ms, mfu 2.60%
iter 59: loss 8.8608, time 12952.41ms, mfu 2.60%
iter 60: loss 8.6610, time 12953.46ms, mfu 2.60%
iter 61: loss 8.6794, time 12953.40ms, mfu 2.60%
iter 62: loss 8.7652, time 12954.21ms, mfu 2.60%
iter 63: loss 8.7072, time 12952.47ms, mfu 2.60%
iter 64: loss 8.6366, time 12953.54ms, mfu 2.60%
iter 65: loss 8.9356, time 12953.36ms, mfu 2.60%
