Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 109.48M
using fused AdamW: False
step 0: train loss 17.1358, val loss 17.1369
iter 0: loss 17.2072, time 52387.13ms, mfu -100.00%
iter 1: loss 17.2173, time 11786.65ms, mfu -100.00%
iter 2: loss 17.1657, time 11808.22ms, mfu -100.00%
iter 3: loss 17.2171, time 11807.15ms, mfu -100.00%
iter 4: loss 17.1455, time 11807.44ms, mfu -100.00%
iter 5: loss 17.0728, time 11814.21ms, mfu 66.02%
iter 6: loss 16.9599, time 11827.60ms, mfu 66.01%
iter 7: loss 16.9503, time 11828.72ms, mfu 66.00%
iter 8: loss 16.6900, time 11827.79ms, mfu 66.00%
iter 9: loss 16.7904, time 11827.59ms, mfu 65.99%
iter 10: loss 16.6866, time 11827.64ms, mfu 65.99%
iter 11: loss 16.5148, time 11827.82ms, mfu 65.98%
iter 12: loss 16.3367, time 11827.51ms, mfu 65.98%
iter 13: loss 16.0042, time 11828.24ms, mfu 65.97%
iter 14: loss 16.0775, time 11827.24ms, mfu 65.97%
iter 15: loss 15.9329, time 11827.93ms, mfu 65.97%
iter 16: loss 15.6671, time 11827.52ms, mfu 65.97%
iter 17: loss 15.3849, time 11828.08ms, mfu 65.96%
iter 18: loss 15.0850, time 11827.99ms, mfu 65.96%
iter 19: loss 14.7343, time 11828.45ms, mfu 65.96%
iter 20: loss 14.5233, time 11827.81ms, mfu 65.96%
iter 21: loss 14.0023, time 11829.15ms, mfu 65.96%
iter 22: loss 13.6766, time 11827.45ms, mfu 65.95%
iter 23: loss 13.2341, time 11828.33ms, mfu 65.95%
iter 24: loss 12.7758, time 11967.44ms, mfu 65.87%
iter 25: loss 12.4599, time 11827.95ms, mfu 65.88%
iter 26: loss 12.0600, time 11827.69ms, mfu 65.89%
iter 27: loss 11.9336, time 11844.52ms, mfu 65.88%
iter 28: loss 11.5767, time 11828.70ms, mfu 65.89%
iter 29: loss 11.3380, time 11827.80ms, mfu 65.89%
iter 30: loss 11.1059, time 11826.86ms, mfu 65.90%
iter 31: loss 10.9920, time 11828.55ms, mfu 65.90%
iter 32: loss 11.0281, time 11827.21ms, mfu 65.91%
iter 33: loss 10.8778, time 11828.85ms, mfu 65.91%
iter 34: loss 10.8697, time 11829.17ms, mfu 65.91%
iter 35: loss 10.7451, time 11827.18ms, mfu 65.92%
iter 36: loss 10.6938, time 11827.93ms, mfu 65.92%
iter 37: loss 10.5808, time 11828.05ms, mfu 65.92%
iter 38: loss 10.4991, time 11827.85ms, mfu 65.92%
iter 39: loss 10.1289, time 11828.18ms, mfu 65.93%
iter 40: loss 10.2500, time 11827.84ms, mfu 65.93%
iter 41: loss 10.1603, time 11828.48ms, mfu 65.93%
iter 42: loss 10.0076, time 11828.65ms, mfu 65.93%
iter 43: loss 9.9541, time 11827.21ms, mfu 65.93%
iter 44: loss 9.8686, time 11827.99ms, mfu 65.93%
iter 45: loss 9.9099, time 11828.37ms, mfu 65.93%
iter 46: loss 9.5943, time 11827.78ms, mfu 65.93%
iter 47: loss 9.5960, time 11829.17ms, mfu 65.93%
iter 48: loss 9.6235, time 11827.74ms, mfu 65.93%
iter 49: loss 9.4910, time 11828.25ms, mfu 65.94%
iter 50: loss 9.4519, time 11828.41ms, mfu 65.94%
iter 51: loss 9.4950, time 11827.60ms, mfu 65.94%
iter 52: loss 9.2474, time 11827.85ms, mfu 65.94%
iter 53: loss 9.0288, time 11828.03ms, mfu 65.94%
iter 54: loss 9.1138, time 11827.58ms, mfu 65.94%
iter 55: loss 9.2187, time 11827.89ms, mfu 65.94%
iter 56: loss 9.0101, time 11827.87ms, mfu 65.94%
iter 57: loss 8.8118, time 11827.84ms, mfu 65.94%
iter 58: loss 8.7302, time 11828.15ms, mfu 65.94%
iter 59: loss 8.6914, time 11833.70ms, mfu 65.94%
iter 60: loss 8.4261, time 11827.78ms, mfu 65.94%
iter 61: loss 8.6218, time 11829.16ms, mfu 65.94%
iter 62: loss 8.4332, time 11827.38ms, mfu 65.94%
iter 63: loss 8.5639, time 11827.82ms, mfu 65.94%
iter 64: loss 8.2907, time 11828.27ms, mfu 65.94%
iter 65: loss 8.7775, time 11827.94ms, mfu 65.94%
iter 66: loss 9.0785, time 11827.48ms, mfu 65.94%
iter 67: loss 8.2851, time 11828.34ms, mfu 65.94%
iter 68: loss 8.2985, time 11827.75ms, mfu 65.94%
iter 69: loss 7.9360, time 11837.46ms, mfu 65.93%
iter 70: loss 7.8843, time 11829.32ms, mfu 65.93%
iter 71: loss 7.9870, time 11827.75ms, mfu 65.94%
iter 72: loss 7.6694, time 11828.44ms, mfu 65.94%
iter 73: loss 7.5959, time 11828.02ms, mfu 65.94%
iter 74: loss 7.8973, time 11827.81ms, mfu 65.94%
iter 75: loss 7.8070, time 11829.42ms, mfu 65.94%
iter 76: loss 7.9234, time 11827.29ms, mfu 65.94%
iter 77: loss 7.2779, time 11828.11ms, mfu 65.94%
iter 78: loss 7.7225, time 11827.47ms, mfu 65.94%
iter 79: loss 7.7368, time 11828.54ms, mfu 65.94%
iter 80: loss 8.2918, time 11827.76ms, mfu 65.94%
iter 81: loss 7.4814, time 11833.37ms, mfu 65.94%
iter 82: loss 7.6819, time 11828.78ms, mfu 65.94%
iter 83: loss 7.7532, time 11828.02ms, mfu 65.94%
iter 84: loss 7.1300, time 11827.49ms, mfu 65.94%
iter 85: loss 7.7500, time 11828.76ms, mfu 65.94%
iter 86: loss 7.3941, time 11827.33ms, mfu 65.94%
iter 87: loss 7.3924, time 11828.58ms, mfu 65.94%
iter 88: loss 7.5222, time 11828.08ms, mfu 65.94%
iter 89: loss 7.3445, time 11827.35ms, mfu 65.94%
iter 90: loss 7.5404, time 11828.75ms, mfu 65.94%
iter 91: loss 7.2540, time 11827.15ms, mfu 65.94%
iter 92: loss 7.2736, time 11827.35ms, mfu 65.94%
iter 93: loss 7.6410, time 11828.28ms, mfu 65.94%
iter 94: loss 7.5336, time 11827.83ms, mfu 65.94%
iter 95: loss 7.6588, time 11828.24ms, mfu 65.94%
iter 96: loss 7.4397, time 11827.92ms, mfu 65.94%
iter 97: loss 7.2108, time 11828.34ms, mfu 65.94%
iter 98: loss 7.3485, time 11828.88ms, mfu 65.94%
iter 99: loss 6.8818, time 11827.57ms, mfu 65.94%
iter 100: loss 7.4673, time 11828.05ms, mfu 65.94%
iter 101: loss 7.4548, time 11828.64ms, mfu 65.94%
iter 102: loss 7.6568, time 11827.58ms, mfu 65.94%
iter 103: loss 7.4231, time 11828.92ms, mfu 65.94%
iter 104: loss 7.4315, time 11827.35ms, mfu 65.94%
iter 105: loss 7.3476, time 11828.25ms, mfu 65.94%
iter 106: loss 7.3211, time 11828.27ms, mfu 65.94%
iter 107: loss 6.9976, time 11828.62ms, mfu 65.94%
iter 108: loss 7.7881, time 11827.40ms, mfu 65.94%
iter 109: loss 7.3095, time 11828.25ms, mfu 65.94%
iter 110: loss 7.3010, time 11827.93ms, mfu 65.94%
iter 111: loss 7.6156, time 11828.97ms, mfu 65.94%
iter 112: loss 7.5098, time 11828.18ms, mfu 65.94%
iter 113: loss 7.3096, time 11829.39ms, mfu 65.94%
iter 114: loss 7.1615, time 11827.23ms, mfu 65.94%
iter 115: loss 6.9087, time 11828.60ms, mfu 65.94%
iter 116: loss 7.4957, time 11829.13ms, mfu 65.94%
iter 117: loss 7.4106, time 11828.64ms, mfu 65.94%
iter 118: loss 7.1495, time 11829.06ms, mfu 65.94%
iter 119: loss 7.1142, time 11828.75ms, mfu 65.94%
iter 120: loss 6.8990, time 11827.58ms, mfu 65.94%
