Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 123.59M
using fused AdamW: False
step 0: train loss 10.9880, val loss 10.9894
iter 0: loss 10.9921, time 33744.83ms, mfu -100.00%
iter 1: loss 11.0196, time 7442.53ms, mfu -100.00%
iter 2: loss 10.9411, time 7367.97ms, mfu -100.00%
iter 3: loss 10.8971, time 7398.13ms, mfu -100.00%
iter 4: loss 10.8952, time 7491.78ms, mfu -100.00%
iter 5: loss 10.7989, time 7510.93ms, mfu 2.99%
iter 6: loss 10.7961, time 7481.07ms, mfu 2.99%
iter 7: loss 10.6442, time 7483.77ms, mfu 2.99%
iter 8: loss 10.5515, time 7506.95ms, mfu 2.99%
iter 9: loss 10.4411, time 7518.76ms, mfu 2.99%
iter 10: loss 10.3705, time 7508.95ms, mfu 2.99%
iter 11: loss 10.3905, time 7529.68ms, mfu 2.99%
iter 12: loss 10.3856, time 7571.38ms, mfu 2.99%
iter 13: loss 10.1582, time 7464.56ms, mfu 2.99%
iter 14: loss 10.2884, time 7562.29ms, mfu 2.99%
iter 15: loss 9.9920, time 7540.89ms, mfu 2.99%
iter 16: loss 9.9203, time 7621.53ms, mfu 2.98%
iter 17: loss 9.9327, time 7510.28ms, mfu 2.98%
iter 18: loss 9.7774, time 7534.25ms, mfu 2.98%
iter 19: loss 9.7891, time 7564.43ms, mfu 2.98%
iter 20: loss 9.5424, time 7573.09ms, mfu 2.98%
iter 21: loss 9.9547, time 7534.11ms, mfu 2.98%
iter 22: loss 9.6472, time 7542.40ms, mfu 2.98%
iter 23: loss 9.6264, time 7537.38ms, mfu 2.98%
iter 24: loss 9.7474, time 7557.49ms, mfu 2.98%
iter 25: loss 9.3989, time 7597.37ms, mfu 2.97%
iter 26: loss 9.8750, time 7536.68ms, mfu 2.98%
iter 27: loss 9.6629, time 7547.86ms, mfu 2.98%
iter 28: loss 9.4944, time 7600.07ms, mfu 2.97%
iter 29: loss 9.6527, time 7525.59ms, mfu 2.97%
iter 30: loss 9.4492, time 7550.64ms, mfu 2.97%
iter 31: loss 9.3872, time 7565.89ms, mfu 2.97%
iter 32: loss 9.3857, time 7627.07ms, mfu 2.97%
iter 33: loss 9.3268, time 7528.81ms, mfu 2.97%
iter 34: loss 9.5460, time 7551.22ms, mfu 2.97%
iter 35: loss 10.1906, time 7604.60ms, mfu 2.97%
iter 36: loss 9.4322, time 7572.74ms, mfu 2.97%
iter 37: loss 9.1019, time 7562.84ms, mfu 2.97%
iter 38: loss 9.6196, time 7572.65ms, mfu 2.97%
iter 39: loss 9.4474, time 7611.48ms, mfu 2.97%
iter 40: loss 9.3768, time 7628.66ms, mfu 2.96%
iter 41: loss 9.2908, time 7592.12ms, mfu 2.96%
iter 42: loss 9.3198, time 7633.77ms, mfu 2.96%
iter 43: loss 9.3574, time 7639.16ms, mfu 2.96%
iter 44: loss 9.1764, time 7620.98ms, mfu 2.96%
iter 45: loss 9.3195, time 7565.28ms, mfu 2.96%
iter 46: loss 9.3321, time 7592.87ms, mfu 2.96%
iter 47: loss 9.0057, time 7605.60ms, mfu 2.96%
iter 48: loss 9.0796, time 7709.06ms, mfu 2.95%
iter 49: loss 9.1038, time 7608.30ms, mfu 2.95%
iter 50: loss 9.3949, time 7541.95ms, mfu 2.95%
iter 51: loss 8.8901, time 7976.96ms, mfu 2.94%
iter 52: loss 9.0476, time 7949.79ms, mfu 2.93%
iter 53: loss 9.0200, time 7618.53ms, mfu 2.93%
iter 54: loss 9.1085, time 8120.19ms, mfu 2.91%
iter 55: loss 9.5209, time 7868.44ms, mfu 2.91%
iter 56: loss 9.0072, time 7573.47ms, mfu 2.91%
iter 57: loss 9.3881, time 7634.13ms, mfu 2.92%
iter 58: loss 8.7292, time 7663.49ms, mfu 2.92%
iter 59: loss 8.9692, time 7672.43ms, mfu 2.92%
iter 60: loss 8.7832, time 7598.39ms, mfu 2.92%
iter 61: loss 9.1492, time 7598.66ms, mfu 2.92%
iter 62: loss 8.8865, time 7608.24ms, mfu 2.93%
iter 63: loss 8.6677, time 7681.74ms, mfu 2.93%
iter 64: loss 8.7150, time 7638.27ms, mfu 2.93%
iter 65: loss 8.5925, time 7655.57ms, mfu 2.93%
iter 66: loss 8.9186, time 7708.20ms, mfu 2.93%
iter 67: loss 8.9745, time 7654.10ms, mfu 2.93%
iter 68: loss 8.7176, time 7668.95ms, mfu 2.93%
iter 69: loss 8.7010, time 7630.44ms, mfu 2.93%
iter 70: loss 8.8073, time 7633.06ms, mfu 2.93%
iter 71: loss 9.3299, time 7689.29ms, mfu 2.93%
iter 72: loss 9.1123, time 7627.44ms, mfu 2.93%
iter 73: loss 8.8727, time 7736.72ms, mfu 2.93%
iter 74: loss 8.6896, time 7647.54ms, mfu 2.93%
iter 75: loss 8.7069, time 7669.98ms, mfu 2.93%
iter 76: loss 8.2429, time 7654.50ms, mfu 2.93%
iter 77: loss 8.5243, time 7640.89ms, mfu 2.93%
iter 78: loss 8.3228, time 7582.58ms, mfu 2.93%
iter 79: loss 8.5655, time 7667.68ms, mfu 2.93%
iter 80: loss 8.4651, time 7716.75ms, mfu 2.93%
