Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 109.48M
using fused AdamW: False
step 0: train loss 17.1334, val loss 17.1145
iter 0: loss 17.1947, time 64366.77ms, mfu -100.00%
iter 1: loss 17.0623, time 55747.74ms, mfu -100.00%
iter 2: loss 16.9972, time 53406.64ms, mfu -100.00%
iter 3: loss 16.7138, time 53170.56ms, mfu -100.00%
iter 4: loss 16.1518, time 53091.09ms, mfu -100.00%
iter 5: loss 15.3513, time 53081.74ms, mfu 64.14%
iter 6: loss 14.5285, time 53108.13ms, mfu 64.13%
iter 7: loss 13.1445, time 53113.86ms, mfu 64.13%
iter 8: loss 11.8871, time 53096.46ms, mfu 64.13%
iter 9: loss 11.1646, time 53082.77ms, mfu 64.13%
iter 10: loss 10.9414, time 53078.36ms, mfu 64.13%
iter 11: loss 10.7855, time 53097.95ms, mfu 64.13%
iter 12: loss 10.5508, time 53071.30ms, mfu 64.13%
iter 13: loss 10.0055, time 53068.83ms, mfu 64.13%
iter 14: loss 9.8960, time 53080.13ms, mfu 64.13%
iter 15: loss 9.7365, time 53080.01ms, mfu 64.13%
iter 16: loss 9.3846, time 53073.38ms, mfu 64.14%
iter 17: loss 9.3646, time 53072.92ms, mfu 64.14%
iter 18: loss 9.0958, time 53070.20ms, mfu 64.14%
iter 19: loss 8.9801, time 53121.06ms, mfu 64.13%
iter 20: loss 8.8594, time 53104.95ms, mfu 64.13%
iter 21: loss 8.5971, time 53063.94ms, mfu 64.13%
iter 22: loss 8.3295, time 53058.29ms, mfu 64.14%
iter 23: loss 8.1701, time 53060.23ms, mfu 64.14%
iter 24: loss 7.9470, time 53051.14ms, mfu 64.14%
iter 25: loss 7.9077, time 53050.38ms, mfu 64.15%
iter 26: loss 7.8713, time 53051.55ms, mfu 64.15%
iter 27: loss 7.9447, time 53051.56ms, mfu 64.15%
iter 28: loss 7.7323, time 53037.21ms, mfu 64.16%
iter 29: loss 7.5435, time 53031.48ms, mfu 64.16%
iter 30: loss 7.4857, time 53032.22ms, mfu 64.16%
iter 31: loss 7.8637, time 53033.98ms, mfu 64.17%
iter 32: loss 7.4315, time 53035.76ms, mfu 64.17%
iter 33: loss 7.2495, time 53036.44ms, mfu 64.17%
iter 34: loss 7.4256, time 53034.84ms, mfu 64.17%
iter 35: loss 7.5652, time 53037.05ms, mfu 64.18%
iter 36: loss 7.5181, time 53040.58ms, mfu 64.18%
iter 37: loss 7.8508, time 53044.79ms, mfu 64.18%
iter 38: loss 7.4173, time 53038.04ms, mfu 64.18%
iter 39: loss 7.3698, time 53037.85ms, mfu 64.18%
iter 40: loss 7.8181, time 53044.55ms, mfu 64.18%
iter 41: loss 7.3453, time 53048.01ms, mfu 64.18%
iter 42: loss 7.2940, time 53047.26ms, mfu 64.18%
iter 43: loss 7.3049, time 53056.91ms, mfu 64.18%
iter 44: loss 7.1758, time 53056.18ms, mfu 64.18%
iter 45: loss 7.3245, time 53043.19ms, mfu 64.18%
iter 46: loss 7.1969, time 53050.53ms, mfu 64.18%
iter 47: loss 7.0232, time 53057.37ms, mfu 64.18%
iter 48: loss 7.2280, time 53050.38ms, mfu 64.18%
iter 49: loss 6.9201, time 53054.30ms, mfu 64.18%
iter 50: loss 7.1524, time 53061.85ms, mfu 64.17%
iter 51: loss 7.1319, time 53060.41ms, mfu 64.17%
iter 52: loss 7.4210, time 53051.62ms, mfu 64.17%
iter 53: loss 7.1733, time 53064.85ms, mfu 64.17%
iter 54: loss 7.5081, time 53062.82ms, mfu 64.17%
iter 55: loss 7.0280, time 53070.94ms, mfu 64.17%
iter 56: loss 7.4062, time 53065.88ms, mfu 64.17%
iter 57: loss 6.8013, time 53068.36ms, mfu 64.17%
iter 58: loss 6.9323, time 53071.19ms, mfu 64.16%
iter 59: loss 6.8967, time 53077.54ms, mfu 64.16%
iter 60: loss 6.8455, time 53078.89ms, mfu 64.16%
iter 61: loss 7.0429, time 53071.01ms, mfu 64.16%
iter 62: loss 7.0587, time 53068.20ms, mfu 64.16%
iter 63: loss 6.9229, time 53075.99ms, mfu 64.16%
iter 64: loss 6.9503, time 53076.76ms, mfu 64.16%
iter 65: loss 6.9011, time 53077.52ms, mfu 64.15%
iter 66: loss 6.8894, time 53081.55ms, mfu 64.15%
iter 67: loss 6.8796, time 53080.92ms, mfu 64.15%
iter 68: loss 6.5217, time 53072.91ms, mfu 64.15%
iter 69: loss 6.7236, time 53070.85ms, mfu 64.15%
iter 70: loss 6.7451, time 53079.59ms, mfu 64.15%
iter 71: loss 6.8628, time 53080.83ms, mfu 64.15%
iter 72: loss 6.5360, time 53082.31ms, mfu 64.15%
iter 73: loss 6.6734, time 53082.73ms, mfu 64.15%
iter 74: loss 6.5041, time 53081.25ms, mfu 64.15%
iter 75: loss 6.6697, time 53073.49ms, mfu 64.15%
iter 76: loss 6.9797, time 53078.38ms, mfu 64.14%
iter 77: loss 6.3145, time 53084.68ms, mfu 64.14%
iter 78: loss 6.9534, time 53079.16ms, mfu 64.14%
iter 79: loss 6.2856, time 53084.86ms, mfu 64.14%
iter 80: loss 6.8032, time 53086.65ms, mfu 64.14%
iter 81: loss 6.5335, time 53086.52ms, mfu 64.14%
iter 82: loss 6.6998, time 53081.43ms, mfu 64.14%
iter 83: loss 6.8187, time 53078.88ms, mfu 64.14%
iter 84: loss 6.5127, time 53074.89ms, mfu 64.14%
iter 85: loss 6.3821, time 53085.35ms, mfu 64.14%
iter 86: loss 6.6051, time 53082.51ms, mfu 64.14%
iter 87: loss 6.3900, time 53075.65ms, mfu 64.14%
iter 88: loss 6.3069, time 53074.75ms, mfu 64.14%
iter 89: loss 6.3149, time 53082.74ms, mfu 64.14%
iter 90: loss 6.4003, time 53081.62ms, mfu 64.14%
iter 91: loss 6.3621, time 53082.89ms, mfu 64.14%
iter 92: loss 6.3940, time 53081.24ms, mfu 64.14%
iter 93: loss 6.3467, time 53079.70ms, mfu 64.14%
iter 94: loss 6.4247, time 53087.88ms, mfu 64.14%
iter 95: loss 6.4183, time 53090.10ms, mfu 64.14%
iter 96: loss 6.4086, time 53086.37ms, mfu 64.14%
iter 97: loss 6.3314, time 53085.01ms, mfu 64.14%
iter 98: loss 6.4770, time 53077.01ms, mfu 64.14%
iter 99: loss 6.3654, time 53085.39ms, mfu 64.14%
iter 100: loss 6.2585, time 53091.08ms, mfu 64.14%
iter 101: loss 6.5766, time 53085.69ms, mfu 64.13%
iter 102: loss 6.2402, time 53081.35ms, mfu 64.14%
iter 103: loss 6.1734, time 53080.34ms, mfu 64.14%
iter 104: loss 6.5485, time 53079.99ms, mfu 64.14%
iter 105: loss 6.5997, time 53082.70ms, mfu 64.14%
iter 106: loss 6.2810, time 53081.06ms, mfu 64.14%
iter 107: loss 6.2459, time 53082.05ms, mfu 64.14%
iter 108: loss 6.2583, time 53084.15ms, mfu 64.14%
iter 109: loss 6.2870, time 53087.48ms, mfu 64.14%
iter 110: loss 6.2889, time 53090.14ms, mfu 64.13%
iter 111: loss 6.4261, time 53087.62ms, mfu 64.13%
iter 112: loss 6.1507, time 53086.98ms, mfu 64.13%
iter 113: loss 6.0572, time 53091.73ms, mfu 64.13%
iter 114: loss 6.0314, time 53085.36ms, mfu 64.13%
iter 115: loss 6.1510, time 53080.13ms, mfu 64.13%
iter 116: loss 6.1793, time 53081.93ms, mfu 64.13%
iter 117: loss 6.1083, time 53092.07ms, mfu 64.13%
iter 118: loss 6.0480, time 53088.31ms, mfu 64.13%
iter 119: loss 6.3446, time 53077.83ms, mfu 64.13%
iter 120: loss 5.9807, time 53082.86ms, mfu 64.13%
iter 121: loss 6.0537, time 53091.83ms, mfu 64.13%
iter 122: loss 6.0982, time 53079.77ms, mfu 64.13%
iter 123: loss 6.0350, time 53092.51ms, mfu 64.13%
iter 124: loss 6.2455, time 53100.75ms, mfu 64.13%
iter 125: loss 6.1363, time 53093.45ms, mfu 64.13%
iter 126: loss 5.9223, time 53084.20ms, mfu 64.13%
iter 127: loss 5.9144, time 53087.86ms, mfu 64.13%
iter 128: loss 6.4417, time 53092.40ms, mfu 64.13%
iter 129: loss 6.1359, time 53089.71ms, mfu 64.13%
iter 130: loss 6.1258, time 53088.95ms, mfu 64.13%
iter 131: loss 6.0111, time 53091.90ms, mfu 64.13%
iter 132: loss 6.0134, time 53084.90ms, mfu 64.13%
iter 133: loss 5.7030, time 53087.96ms, mfu 64.13%
iter 134: loss 5.9634, time 53087.90ms, mfu 64.13%
iter 135: loss 6.0807, time 53093.74ms, mfu 64.13%
iter 136: loss 6.0144, time 53089.58ms, mfu 64.13%
iter 137: loss 6.2930, time 53082.41ms, mfu 64.13%
iter 138: loss 6.1406, time 53090.30ms, mfu 64.13%
iter 139: loss 6.2783, time 53091.20ms, mfu 64.13%
