Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 109.48M
using fused AdamW: False
step 0: train loss 17.1239, val loss 17.1282
iter 0: loss 17.1781, time 45737.88ms, mfu -100.00%
iter 1: loss 17.1035, time 4720.37ms, mfu -100.00%
iter 2: loss 17.0354, time 4506.76ms, mfu -100.00%
iter 3: loss 17.1329, time 4500.97ms, mfu -100.00%
iter 4: loss 17.0980, time 4473.88ms, mfu -100.00%
iter 5: loss 16.9827, time 4475.82ms, mfu 63.39%
iter 6: loss 16.9215, time 4477.77ms, mfu 63.38%
iter 7: loss 16.9009, time 4475.93ms, mfu 63.38%
iter 8: loss 16.7826, time 4478.03ms, mfu 63.38%
iter 9: loss 16.6955, time 4476.43ms, mfu 63.38%
iter 10: loss 16.3381, time 4478.03ms, mfu 63.38%
iter 11: loss 16.4786, time 4477.06ms, mfu 63.38%
iter 12: loss 16.3040, time 4478.74ms, mfu 63.37%
iter 13: loss 16.2199, time 4483.46ms, mfu 63.36%
iter 14: loss 15.9942, time 4475.62ms, mfu 63.37%
iter 15: loss 15.7169, time 4471.29ms, mfu 63.38%
iter 16: loss 15.6592, time 4470.60ms, mfu 63.38%
iter 17: loss 15.3546, time 4470.20ms, mfu 63.39%
iter 18: loss 15.0274, time 4470.13ms, mfu 63.40%
iter 19: loss 14.7501, time 4467.80ms, mfu 63.41%
iter 20: loss 14.3737, time 4466.47ms, mfu 63.42%
iter 21: loss 14.0310, time 4466.26ms, mfu 63.43%
iter 22: loss 13.7719, time 4464.49ms, mfu 63.44%
iter 23: loss 13.4043, time 4463.49ms, mfu 63.45%
iter 24: loss 12.9006, time 4463.72ms, mfu 63.47%
iter 25: loss 12.5687, time 4461.75ms, mfu 63.48%
iter 26: loss 12.1159, time 4462.22ms, mfu 63.49%
iter 27: loss 11.9159, time 4462.54ms, mfu 63.50%
iter 28: loss 11.5215, time 4454.03ms, mfu 63.52%
iter 29: loss 11.3486, time 4453.12ms, mfu 63.54%
iter 30: loss 11.2114, time 4453.32ms, mfu 63.55%
iter 31: loss 11.0137, time 4451.54ms, mfu 63.57%
iter 32: loss 10.9988, time 4450.46ms, mfu 63.59%
iter 33: loss 10.9460, time 4452.60ms, mfu 63.60%
iter 34: loss 10.8141, time 4450.78ms, mfu 63.62%
iter 35: loss 10.7987, time 4450.32ms, mfu 63.63%
iter 36: loss 10.5925, time 4450.71ms, mfu 63.64%
iter 37: loss 10.4931, time 4452.24ms, mfu 63.65%
iter 38: loss 10.5027, time 4448.91ms, mfu 63.66%
iter 39: loss 10.3717, time 4448.56ms, mfu 63.67%
iter 40: loss 10.3230, time 4451.93ms, mfu 63.68%
iter 41: loss 10.3051, time 4450.17ms, mfu 63.69%
iter 42: loss 10.0274, time 4449.60ms, mfu 63.69%
iter 43: loss 9.9323, time 4452.26ms, mfu 63.70%
iter 44: loss 9.9434, time 4450.70ms, mfu 63.70%
iter 45: loss 9.8206, time 4449.46ms, mfu 63.71%
iter 46: loss 9.6620, time 4451.41ms, mfu 63.71%
iter 47: loss 9.6085, time 4452.69ms, mfu 63.71%
iter 48: loss 9.6459, time 4450.67ms, mfu 63.71%
iter 49: loss 9.5004, time 4451.70ms, mfu 63.72%
iter 50: loss 9.4892, time 4452.45ms, mfu 63.72%
iter 51: loss 9.1751, time 4450.51ms, mfu 63.72%
iter 52: loss 9.1352, time 4452.42ms, mfu 63.72%
iter 53: loss 9.1493, time 4452.80ms, mfu 63.72%
iter 54: loss 9.0743, time 4452.23ms, mfu 63.72%
iter 55: loss 9.0113, time 4451.66ms, mfu 63.72%
iter 56: loss 8.9508, time 4451.92ms, mfu 63.72%
iter 57: loss 8.8869, time 4451.09ms, mfu 63.72%
iter 58: loss 8.7315, time 4452.33ms, mfu 63.72%
iter 59: loss 8.7605, time 4452.40ms, mfu 63.72%
iter 60: loss 8.6077, time 4452.72ms, mfu 63.72%
iter 61: loss 8.5972, time 4452.40ms, mfu 63.72%
iter 62: loss 8.4962, time 4451.73ms, mfu 63.72%
iter 63: loss 8.5411, time 4451.13ms, mfu 63.72%
iter 64: loss 8.4528, time 4451.79ms, mfu 63.72%
iter 65: loss 8.3351, time 4450.65ms, mfu 63.73%
iter 66: loss 8.4400, time 4451.88ms, mfu 63.73%
iter 67: loss 8.3173, time 4451.95ms, mfu 63.73%
iter 68: loss 8.0224, time 4449.95ms, mfu 63.73%
iter 69: loss 8.1441, time 4451.76ms, mfu 63.73%
iter 70: loss 8.1102, time 4546.83ms, mfu 63.60%
iter 71: loss 7.8703, time 4549.03ms, mfu 63.47%
iter 72: loss 7.9965, time 4479.55ms, mfu 63.46%
iter 73: loss 7.7494, time 4429.37ms, mfu 63.52%
iter 74: loss 7.7820, time 4425.16ms, mfu 63.58%
iter 75: loss 7.6081, time 4426.79ms, mfu 63.63%
iter 76: loss 7.7246, time 4426.12ms, mfu 63.68%
iter 77: loss 7.7658, time 4425.71ms, mfu 63.72%
iter 78: loss 7.6651, time 4425.62ms, mfu 63.76%
iter 79: loss 7.5843, time 4425.81ms, mfu 63.79%
iter 80: loss 7.5777, time 4425.29ms, mfu 63.82%
iter 81: loss 7.6425, time 4426.66ms, mfu 63.85%
iter 82: loss 7.4531, time 4424.82ms, mfu 63.88%
iter 83: loss 7.4849, time 4425.03ms, mfu 63.90%
iter 84: loss 7.4499, time 4424.05ms, mfu 63.92%
iter 85: loss 7.4518, time 4424.49ms, mfu 63.94%
iter 86: loss 7.4190, time 4424.27ms, mfu 63.96%
iter 87: loss 7.7682, time 4423.62ms, mfu 63.98%
iter 88: loss 7.3428, time 4423.84ms, mfu 63.99%
iter 89: loss 7.6629, time 4424.47ms, mfu 64.01%
iter 90: loss 7.4806, time 4422.37ms, mfu 64.02%
iter 91: loss 7.3973, time 4424.42ms, mfu 64.03%
iter 92: loss 7.5885, time 4424.25ms, mfu 64.04%
iter 93: loss 7.4520, time 4422.28ms, mfu 64.05%
iter 94: loss 7.5810, time 4424.49ms, mfu 64.06%
iter 95: loss 7.3736, time 4424.56ms, mfu 64.07%
iter 96: loss 7.1324, time 4424.74ms, mfu 64.07%
iter 97: loss 7.4447, time 4423.96ms, mfu 64.08%
iter 98: loss 7.5781, time 4424.28ms, mfu 64.08%
iter 99: loss 7.4135, time 4424.58ms, mfu 64.09%
iter 100: loss 7.1978, time 4424.56ms, mfu 64.09%
iter 101: loss 7.4792, time 4425.96ms, mfu 64.09%
iter 102: loss 7.4546, time 4425.27ms, mfu 64.09%
iter 103: loss 7.0843, time 4425.12ms, mfu 64.09%
iter 104: loss 7.3418, time 4425.39ms, mfu 64.10%
iter 105: loss 7.1895, time 4425.22ms, mfu 64.10%
iter 106: loss 7.3415, time 4426.40ms, mfu 64.10%
iter 107: loss 7.1646, time 4425.72ms, mfu 64.10%
iter 108: loss 7.3732, time 4427.84ms, mfu 64.10%
