Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
WARNING: using slow attention. Flash Attention requires PyTorch >= 2.0
number of parameters: 123.59M
using fused AdamW: False
step 0: train loss 10.9886, val loss 10.9903
iter 0: loss 10.9987, time 55354.80ms, mfu -100.00%
iter 1: loss 10.9864, time 11687.68ms, mfu -100.00%
iter 2: loss 10.9718, time 11362.70ms, mfu -100.00%
iter 3: loss 10.9412, time 11612.62ms, mfu -100.00%
iter 4: loss 10.8584, time 11597.91ms, mfu -100.00%
iter 5: loss 10.8049, time 11418.86ms, mfu 6.88%
iter 6: loss 10.7091, time 11243.43ms, mfu 6.89%
iter 7: loss 10.6195, time 11229.88ms, mfu 6.90%
iter 8: loss 10.5660, time 11224.93ms, mfu 6.91%
iter 9: loss 10.4521, time 11216.86ms, mfu 6.92%
iter 10: loss 10.4093, time 11207.44ms, mfu 6.93%
iter 11: loss 10.3141, time 11203.25ms, mfu 6.94%
iter 12: loss 10.2310, time 11200.54ms, mfu 6.94%
iter 13: loss 10.2896, time 11198.50ms, mfu 6.95%
iter 14: loss 10.0984, time 11195.17ms, mfu 6.96%
iter 15: loss 9.9655, time 11202.05ms, mfu 6.96%
iter 16: loss 9.9573, time 11196.62ms, mfu 6.97%
iter 17: loss 9.8689, time 11192.31ms, mfu 6.97%
iter 18: loss 9.9946, time 11195.34ms, mfu 6.98%
iter 19: loss 9.8477, time 11196.79ms, mfu 6.98%
iter 20: loss 9.8001, time 11203.87ms, mfu 6.98%
iter 21: loss 9.8327, time 11202.39ms, mfu 6.99%
iter 22: loss 9.7475, time 11200.02ms, mfu 6.99%
iter 23: loss 9.6660, time 11201.02ms, mfu 6.99%
iter 24: loss 9.6819, time 11205.91ms, mfu 6.99%
iter 25: loss 9.5879, time 11199.75ms, mfu 7.00%
iter 26: loss 9.6825, time 11202.33ms, mfu 7.00%
iter 27: loss 9.4818, time 11203.01ms, mfu 7.00%
iter 28: loss 9.5810, time 11200.76ms, mfu 7.00%
iter 29: loss 9.4138, time 11204.21ms, mfu 7.00%
iter 30: loss 9.6542, time 11205.63ms, mfu 7.00%
iter 31: loss 9.4925, time 11201.40ms, mfu 7.00%
iter 32: loss 9.7154, time 11206.53ms, mfu 7.00%
iter 33: loss 9.3458, time 11197.22ms, mfu 7.01%
iter 34: loss 9.4908, time 11201.58ms, mfu 7.01%
iter 35: loss 9.3176, time 11202.39ms, mfu 7.01%
iter 36: loss 9.5190, time 11203.47ms, mfu 7.01%
iter 37: loss 9.3444, time 11205.54ms, mfu 7.01%
iter 38: loss 9.4517, time 11196.57ms, mfu 7.01%
iter 39: loss 9.3657, time 11194.42ms, mfu 7.01%
iter 40: loss 9.6025, time 11197.74ms, mfu 7.01%
iter 41: loss 9.1506, time 11198.80ms, mfu 7.01%
iter 42: loss 9.1970, time 11201.13ms, mfu 7.01%
iter 43: loss 9.1081, time 11235.73ms, mfu 7.01%
iter 44: loss 9.1430, time 11204.13ms, mfu 7.01%
iter 45: loss 9.2384, time 11202.38ms, mfu 7.01%
iter 46: loss 9.3220, time 11204.56ms, mfu 7.01%
iter 47: loss 8.9981, time 11204.78ms, mfu 7.01%
iter 48: loss 9.0353, time 11217.18ms, mfu 7.01%
iter 49: loss 9.1006, time 11205.02ms, mfu 7.01%
iter 50: loss 9.0742, time 11207.45ms, mfu 7.01%
iter 51: loss 9.0531, time 11203.04ms, mfu 7.01%
iter 52: loss 9.1998, time 11209.15ms, mfu 7.01%
iter 53: loss 8.8346, time 11200.61ms, mfu 7.01%
iter 54: loss 9.0428, time 11200.78ms, mfu 7.01%
iter 55: loss 9.0982, time 11203.97ms, mfu 7.01%
iter 56: loss 8.7845, time 11197.09ms, mfu 7.01%
